"participant","experiment","band","region","mean_power","sd_power"
1,1,"alpha","Central",1.45590755016495,0.176979083147967
1,1,"alpha","Left frontal",0.863423229017247,0.181856012933907
1,1,"alpha","Left temporal",1.0944654576108,0.217050595693189
1,1,"alpha","Occipital",2.58959912051435,0.425929122604269
1,1,"alpha","Parietal",1.82579863273229,0.325557610908339
1,1,"alpha","Right frontal",1.09411427402975,0.15799204618989
1,1,"alpha","Right temporal",1.18250912969905,0.168989176127177
1,1,"beta","Central",0.693049394354747,0.0593545459686317
1,1,"beta","Left frontal",0.396412970240286,0.0275883452744924
1,1,"beta","Left temporal",0.544616982227191,0.0475208865937713
1,1,"beta","Occipital",0.89884191974879,0.0659136659517148
1,1,"beta","Parietal",0.789840173323013,0.0618168936817118
1,1,"beta","Right frontal",0.496735653135968,0.053722671900034
1,1,"beta","Right temporal",0.574942003746798,0.066111589982479
1,1,"theta","Central",1.29801432178765,0.381791527912954
1,1,"theta","Left frontal",0.930640840553922,0.504712856278726
1,1,"theta","Left temporal",0.864534979613992,0.348389729366754
1,1,"theta","Occipital",1.49752574964072,0.422204096264905
1,1,"theta","Parietal",1.32588307669126,0.378557578468463
1,1,"theta","Right frontal",1.33185199926952,0.458907725817438
1,1,"theta","Right temporal",1.08429963305233,0.359579926806232
1,2,"alpha","Central",1.69141565901212,0.218851849881356
1,2,"alpha","Left frontal",0.912103851818644,0.12828014500672
1,2,"alpha","Left temporal",1.21091887883411,0.223193327142438
1,2,"alpha","Occipital",2.90849552827951,0.442144200458425
1,2,"alpha","Parietal",2.20933310123915,0.351946568940607
1,2,"alpha","Right frontal",1.18085889370302,0.163035466431157
1,2,"alpha","Right temporal",1.33077799328278,0.216869140244183
1,2,"beta","Central",0.723029707354723,0.0950127936652053
1,2,"beta","Left frontal",0.408382827389507,0.0457545444156234
1,2,"beta","Left temporal",0.673412924375378,0.121130914403968
1,2,"beta","Occipital",0.961530736174215,0.113631342637114
1,2,"beta","Parietal",0.838316682975699,0.115978421321343
1,2,"beta","Right frontal",0.507513859134527,0.0829153198785965
1,2,"beta","Right temporal",0.638004134006772,0.108162728446652
1,2,"theta","Central",1.22049916259463,0.181125577190022
1,2,"theta","Left frontal",0.802661694087265,0.103246817840938
1,2,"theta","Left temporal",0.802320082210432,0.103437362569846
1,2,"theta","Occipital",1.43486301102921,0.234922486463803
1,2,"theta","Parietal",1.2769030700181,0.205230808948528
1,2,"theta","Right frontal",1.16602593188953,0.176905896958677
1,2,"theta","Right temporal",1.00783380821755,0.151563602597099
2,1,"alpha","Central",0.825850357422747,0.228718270255963
2,1,"alpha","Left frontal",0.838225189036164,0.201522030984077
2,1,"alpha","Left temporal",0.829626902232154,0.19724476728862
2,1,"alpha","Occipital",1.41484977296594,0.63457947538974
2,1,"alpha","Parietal",1.0361439066264,0.438941732333838
2,1,"alpha","Right frontal",0.771256747982458,0.190152870014298
2,1,"alpha","Right temporal",1.36822918376018,0.430628530087675
2,1,"beta","Central",0.289327520873162,0.032549245213895
2,1,"beta","Left frontal",0.312921704628813,0.0322446133925667
2,1,"beta","Left temporal",0.29195352513691,0.0308010535413264
2,1,"beta","Occipital",0.399335754749136,0.0585662875303087
2,1,"beta","Parietal",0.294038790965906,0.0495977793455777
2,1,"beta","Right frontal",0.295796530006901,0.0282470221881974
2,1,"beta","Right temporal",0.40527537512904,0.0636343626137727
2,1,"theta","Central",0.983366565777252,0.132525012541295
2,1,"theta","Left frontal",1.22258487882417,0.194372751167944
2,1,"theta","Left temporal",1.08552149466162,0.18722136702948
2,1,"theta","Occipital",1.24061177070316,0.211859194618636
2,1,"theta","Parietal",0.864447785706718,0.160229868644326
2,1,"theta","Right frontal",1.12687537669357,0.164514793130058
2,1,"theta","Right temporal",1.49176943690364,0.219119403796624
2,2,"alpha","Central",0.98806472048355,0.189210966478555
2,2,"alpha","Left frontal",0.937869250092147,0.179804057632072
2,2,"alpha","Left temporal",0.972384916840417,0.146712104193629
2,2,"alpha","Occipital",1.94367090685952,0.600079360114349
2,2,"alpha","Parietal",1.37143245829632,0.390017779481195
2,2,"alpha","Right frontal",0.843043818816999,0.149062533206226
2,2,"alpha","Right temporal",1.5978505347335,0.415959913942732
2,2,"beta","Central",0.312797659141479,0.035569679394217
2,2,"beta","Left frontal",0.335949109307449,0.031526991517859
2,2,"beta","Left temporal",0.307855182425001,0.0387110153235202
2,2,"beta","Occipital",0.453614965928509,0.0636154096519985
2,2,"beta","Parietal",0.322788181169843,0.0443431776974261
2,2,"beta","Right frontal",0.313284432791449,0.0362069360864538
2,2,"beta","Right temporal",0.436566778348788,0.0679223938060583
2,2,"theta","Central",1.00636106713598,0.12987618747012
2,2,"theta","Left frontal",1.22938568961225,0.245945596709948
2,2,"theta","Left temporal",1.12836881654265,0.256690590828503
2,2,"theta","Occipital",1.30925305864789,0.207498506600851
2,2,"theta","Parietal",0.924326647247391,0.131619868252823
2,2,"theta","Right frontal",1.09682870434434,0.15916963960223
2,2,"theta","Right temporal",1.51500199835945,0.200516753574151
